Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,19.180000,19.820000,19.180000,19.750000,19.750000,1310700
2021-08-30,19.889999,20.049999,19.760000,19.760000,19.760000,622200
2021-08-31,19.670000,19.700001,19.389999,19.680000,19.680000,1652200
2021-09-01,20.090000,20.250000,20.040001,20.180000,20.180000,1739600
2021-09-02,20.110001,20.160000,19.900000,19.910000,19.910000,1174200
2021-09-03,20.010000,20.219999,19.940001,20.200001,20.200001,668200
2021-09-07,20.110001,20.160000,19.750000,19.760000,19.760000,1296100
2021-09-08,19.860001,19.889999,19.639999,19.820000,19.820000,929400
2021-09-09,20.000000,20.270000,20.000000,20.209999,20.209999,895200
2021-09-10,20.379999,20.530001,20.260000,20.290001,20.290001,800000
2021-09-13,20.440001,20.490000,20.270000,20.440001,20.440001,636700
2021-09-14,20.670000,20.750000,20.490000,20.549999,20.549999,1113900
2021-09-15,20.950001,21.129999,20.850000,21.110001,21.110001,1794400
2021-09-16,20.940001,21.100000,20.850000,21.030001,21.030001,620900
2021-09-17,20.910000,21.049999,20.620001,20.680000,20.680000,1167200
2021-09-20,19.930000,20.070000,19.670000,19.889999,19.889999,1947000
2021-09-21,20.250000,20.510000,20.139999,20.469999,20.469999,2213300
2021-09-22,20.850000,21.299999,20.850000,21.200001,21.200001,1558100
2021-09-23,21.570000,22.090000,21.570000,22.070000,22.070000,1181800
2021-09-24,21.590000,21.879999,21.570000,21.799999,21.799999,1896800
2021-09-27,22.209999,22.950001,22.200001,22.809999,22.809999,5179400
2021-09-28,22.360001,22.559999,22.010000,22.070000,22.070000,2486100
2021-09-29,22.080000,22.400000,22.080000,22.330000,22.330000,819700
2021-09-30,22.400000,22.559999,22.260000,22.410000,22.410000,1686200
2021-10-01,22.500000,22.900000,22.480000,22.780001,22.780001,687800
2021-10-04,23.150000,23.200001,22.660000,22.719999,22.719999,1134800
2021-10-05,22.980000,23.200001,22.969999,23.129999,23.129999,897500
2021-10-06,22.219999,22.469999,22.110001,22.340000,22.340000,1666500
2021-10-07,24.620001,25.900000,24.610001,25.750000,25.750000,4969500
2021-10-08,25.639999,26.350000,25.639999,26.350000,26.350000,4366500
2021-10-11,27.670000,28.410000,27.340000,28.059999,28.059999,2851000
2021-10-12,29.500000,32.000000,29.480000,31.680000,31.680000,6394200
2021-10-13,32.849998,34.400002,32.520000,34.200001,34.200001,7337100
2021-10-14,32.990002,34.139999,32.580002,33.930000,33.930000,3622100
2021-10-15,33.980000,34.529999,33.869999,34.189999,34.189999,4529400
2021-10-18,34.139999,34.430000,33.630001,33.790001,33.790001,2139500
2021-10-19,32.439999,32.439999,31.700001,32.000000,32.000000,2679100
2021-10-20,32.490002,32.630001,32.180000,32.360001,32.360001,2526400
2021-10-21,33.570000,33.840000,33.290001,33.570000,33.570000,1663500
2021-10-22,32.599998,32.689999,31.940001,32.270000,32.270000,1344100
2021-10-25,32.099998,32.470001,32.029999,32.200001,32.200001,1255900
2021-10-26,33.779999,33.820000,33.049999,33.169998,33.169998,3200600
2021-10-27,32.790001,32.860001,32.250000,32.360001,32.360001,2306000
2021-10-28,31.730000,32.320000,31.700001,32.040001,32.040001,2015500
2021-10-29,32.000000,32.099998,31.480000,31.580000,31.580000,1807000
2021-11-01,32.759998,33.939999,32.709999,33.529999,33.529999,2391000
2021-11-02,32.439999,32.700001,31.610001,31.770000,31.770000,1960400
2021-11-03,31.730000,32.919998,31.719999,32.880001,32.880001,1417400
2021-11-04,32.709999,32.770000,32.389999,32.480000,32.480000,991700
2021-11-05,32.779999,33.029999,32.590000,32.759998,32.759998,1075000
2021-11-08,33.639999,34.330002,33.520000,34.080002,34.080002,1768700
2021-11-09,34.290001,34.360001,33.200001,33.610001,33.610001,1645600
2021-11-10,33.910000,34.709999,33.250000,33.459999,33.459999,1973700
2021-11-11,33.419998,33.860001,33.330002,33.590000,33.590000,1061600
2021-11-12,33.689999,33.730000,33.360001,33.570000,33.570000,1025200
2021-11-15,33.580002,33.980000,33.340000,33.570000,33.570000,954600
2021-11-16,34.490002,34.939999,34.360001,34.660000,34.660000,1645000
2021-11-17,35.099998,35.380001,34.910000,34.939999,34.939999,1308800
2021-11-18,33.740002,33.790001,32.509998,33.139999,33.139999,1614000
2021-11-19,32.990002,33.590000,32.900002,33.450001,33.450001,1083400
2021-11-22,32.320000,32.790001,31.870001,32.240002,32.240002,2449100
2021-11-23,32.900002,33.169998,32.490002,32.840000,32.840000,1181600
2021-11-24,32.299999,32.900002,32.130001,32.880001,32.880001,923800
2021-11-26,30.150000,30.549999,30.020000,30.360001,30.360001,985200
2021-11-29,30.700001,30.990000,30.270000,30.959999,30.959999,1293400
2021-11-30,30.719999,30.969999,30.309999,30.540001,30.540001,1143600
2021-12-01,31.959999,32.209999,31.250000,31.280001,31.280001,1823100
2021-12-02,31.830000,32.209999,31.570000,31.969999,31.969999,1444400
2021-12-03,32.000000,32.060001,31.090000,31.450001,31.450001,810100
2021-12-06,31.000000,31.049999,30.350000,30.799999,30.799999,2259500
2021-12-07,31.980000,32.150002,31.719999,31.850000,31.850000,1042600
2021-12-08,32.500000,32.880001,32.400002,32.610001,32.610001,752500
2021-12-09,32.490002,32.610001,32.090000,32.139999,32.139999,904100
2021-12-10,32.619999,32.810001,32.369999,32.750000,32.750000,474500
2021-12-13,32.240002,32.459999,31.690001,31.950001,31.950001,694300
2021-12-14,31.709999,31.969999,31.410000,31.690001,31.690001,1928500
2021-12-15,31.940001,32.180000,31.299999,32.150002,32.150002,1219400
2021-12-16,32.180000,32.299999,31.549999,31.629999,31.629999,856400
2021-12-17,30.160000,30.770000,30.030001,30.309999,30.309999,1178100
2021-12-20,29.240000,29.570000,28.870001,29.469999,29.469999,1214400
2021-12-21,29.879999,30.430000,29.879999,30.379999,30.379999,686400
2021-12-22,30.930000,31.520000,30.889999,31.500000,31.500000,404900
2021-12-23,31.160000,31.420000,31.100000,31.209999,31.209999,480300
2021-12-27,31.190001,31.790001,31.160000,31.780001,31.780001,678100
2021-12-28,32.080002,32.080002,31.600000,31.719999,31.719999,2110400
2021-12-29,31.600000,31.660000,31.450001,31.549999,31.549999,346900
2021-12-30,31.530001,31.660000,31.309999,31.330000,31.330000,481700
2021-12-31,32.180000,32.369999,32.049999,32.090000,32.090000,508400
2022-01-03,33.279999,33.599998,32.950001,33.480000,33.480000,1470600
2022-01-04,32.770000,33.000000,32.139999,32.230000,32.230000,1456300
2022-01-05,32.389999,32.720001,31.809999,31.950001,31.950001,969500
2022-01-06,32.500000,33.060001,32.369999,32.849998,32.849998,943900
2022-01-07,32.810001,32.919998,32.369999,32.880001,32.880001,598000
2022-01-10,33.380001,33.880001,33.330002,33.630001,33.630001,1077300
2022-01-11,33.639999,34.180000,33.450001,34.130001,34.130001,561200
2022-01-12,34.360001,34.700001,34.189999,34.320000,34.320000,609900
2022-01-13,34.470001,34.650002,33.860001,34.000000,34.000000,739800
2022-01-14,33.770000,34.520000,33.720001,34.500000,34.500000,876100
2022-01-18,33.889999,34.330002,33.720001,33.779999,33.779999,756000
2022-01-19,34.669998,35.080002,34.270000,34.299999,34.299999,2496600
2022-01-20,34.000000,34.900002,33.959999,34.029999,34.029999,1154000
2022-01-21,33.220001,33.470001,32.400002,32.619999,32.619999,1221800
2022-01-24,31.129999,31.530001,30.250000,31.510000,31.510000,1233600
2022-01-25,32.000000,32.500000,31.870001,31.900000,31.900000,1592300
2022-01-26,32.200001,32.389999,31.400000,31.750000,31.750000,781500
2022-01-27,32.590000,32.990002,32.410000,32.700001,32.700001,1360000
2022-01-28,32.700001,32.830002,32.180000,32.770000,32.770000,971900
2022-01-31,33.139999,33.970001,32.560001,33.759998,33.759998,1937300
2022-02-01,33.330002,33.570000,32.869999,33.400002,33.400002,607500
2022-02-02,33.470001,33.830002,33.410000,33.660000,33.660000,600200
2022-02-03,33.000000,33.700001,32.939999,33.110001,33.110001,827300
2022-02-04,32.639999,33.250000,32.639999,33.099998,33.099998,691400
2022-02-07,32.779999,33.060001,32.540001,32.799999,32.799999,707600
2022-02-08,32.709999,33.029999,32.439999,32.990002,32.990002,586400
2022-02-09,33.410000,34.500000,33.349998,34.029999,34.029999,1438900
2022-02-10,33.500000,33.880001,33.279999,33.360001,33.360001,695800
2022-02-11,32.959999,33.180000,31.950001,32.200001,32.200001,2510900
2022-02-14,31.150000,31.250000,30.570000,31.110001,31.110001,847400
2022-02-15,33.049999,33.349998,32.950001,33.200001,33.200001,925800
2022-02-16,32.810001,33.290001,32.810001,33.049999,33.049999,715900
2022-02-17,33.070000,33.220001,32.880001,32.970001,32.970001,732700
